name,name_simbadable,ref_discovery,J_2MASS,W1,spt_ir,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,glon_j2000,glat_j2000,2 deg,4 deg,6 deg (Kepler),8 deg,10 deg,12 deg (TESS 1 detector),14 deg,16 deg,18 deg,20 deg
2MASSI J1807159+501531,2MASS J18071593+5015316,Cruz03,12.934,11.233,L1,271.8164,50.2588,Gaia23,77.9786,27.3622,1,3,3,7,9,13,19,22,27,30
2MASS J18000116-1559235,2MASS J18000116-1559235,Bard14,13.431,11.246,L4.3,270.0049,-15.99,Gaia23,12.8473,3.7115,0,1,1,2,2,2,4,5,8,10
2MASSI J2057540-025230,2MASS J20575409-0252302,Cruz03,13.121,11.263,L2: FLD-G,314.4754,-2.8751,Gaia23,45.7872,-29.264,0,1,3,8,10,12,16,22,26,31
WISE J040137.21+284951.7,2MASS J04013766+2849529,Cast13,13.413,11.293,L2.5,60.4066,28.8313,Gaia23,165.6996,-17.8407,0,2,3,7,9,12,23,25,31,37
2MASSW J1300425+191235,2MASSI J1300425+191235,Gizi00c,12.717,11.295,L3 (blue),195.1771,19.2096,Gaia23,318.462,81.8003,1,1,2,3,7,12,14,22,36,51
2MASS J09211410-2104446,SIPS J0921-2104,Reid08b,12.779,11.296,L4: (blue),140.3088,-21.079,Gaia23,250.9343,19.9352,0,0,3,4,8,12,14,21,25,27
SDSS J104842.84+011158.5,LSPM J1048+0111,Hawl02,12.924,11.299,L4,162.1784,1.1995,Gaia23,249.137,50.7856,1,5,9,9,14,16,20,28,35,48
2MASS J15200224-4422419,** BUG 12A,Kend07a,13.228,11.314,L2.5,230.0091,-44.3785,Gaia23,329.0021,10.8421,0,1,1,2,2,2,3,7,12,14
2MASSI J1438082+640836,LSPM J1438+6408,Cruz03,12.985,11.396,L0.2,219.5345,64.1434,Gaia23,105.4908,49.2151,0,2,5,8,10,13,18,20,29,32
DENIS-P J0823031-491201,DENIS J082303.1-491201,Phan08a,13.547,11.419,L2 beta,125.7631,-49.2003,Gaia23,265.6168,-6.8261,0,0,0,0,0,3,3,3,8,11
2MASSW J2224438-015852,2MASSW J2224438-015852,Kirk00,14.073,11.437,L3: FLD-G,336.1827,-1.9815,Gaia23,62.2119,-46.8131,1,1,2,7,13,17,20,26,42,49
WISEP J190648.47+401106.8,2MASS J19064801+4011089,Gizi11a,13.078,11.438,L1,286.7003,40.1857,Gaia23,71.0291,14.4,0,0,0,2,4,4,5,8,11,16
2MASS J05002100+0330501,2MASS J05002100+0330501,Reid08b,13.669,11.515,L4.2 FLD-G,75.0875,3.5139,Gaia23,196.1332,-22.7037,1,2,4,5,10,17,20,22,33,41
2MASSI J1045240-014957,2MASS J10452400-0149576,Gizi02b,13.16,11.527,L1: FLD-G,161.3499,-1.8327,Gaia23,251.5326,48.0553,0,3,5,8,11,16,21,25,39,49
2MASS J10511900+5613086,2MASS J10511900+5613086,Reid08b,13.244,11.538,L0.8,162.8291,56.2191,Gaia23,151.0738,53.8449,1,3,6,8,12,16,20,27,34,38
WISEP J180026.60+013453.1,WISEP J180026.60+013453.1,Gizi11b,14.298,11.543,L7.5,270.1103,1.5825,Gaia23,28.4739,12.0594,0,1,2,2,3,4,8,12,15,19
2MASSW J1552591+294849,2MASS J15525906+2948485,Wils03,13.478,11.559,L0: INT-G,238.2461,29.8135,Gaia23,47.8559,50.2673,1,2,3,7,14,24,33,41,50,63
WISEP J060738.65+242953.4,2MASS J06073908+2429574,Cast12,14.218,11.591,L9,91.9126,24.4991,Gaia23,186.308,2.0228,0,0,2,2,3,5,7,12,13,18
2MASSI J0445538-304820,2MASS J04455387-3048204,Cruz03,13.393,11.622,L1,71.4746,-30.8057,Gaia23,231.8864,-39.1697,1,3,4,8,8,11,18,21,25,31
2MASS J01443536-0716142,2MASS J01443536-0716142,Lieb03a,14.191,11.627,L5,26.1475,-7.2706,Gaia23,157.7705,-66.4775,0,2,4,6,9,15,24,36,45,53
2MASS J05431887+6422528,2MASS J05431887+6422528,Reid08b,13.567,11.632,L1.9 INT-G,85.8285,64.3814,Gaia23,148.6001,17.3647,0,2,3,4,4,4,6,8,8,12
SSSPM J2356-3426,SSSPM J2356-3426,Lodi05b,12.947,11.635,L0.5,359.0451,-34.4346,Gaia23,357.9015,-76.0836,0,1,2,7,9,13,15,22,29,34
DENIS-P J170548.38-051645.7,2MASS J17054834-0516462,Kend04,13.309,11.688,L1: FLD-G,256.4514,-5.2795,Gaia23,15.2779,20.6218,1,2,3,4,6,10,15,19,24,28
G 196-3B,G 196-3B,Rebo98,14.831,11.7,L3: VL-G,151.086,50.3832,Gaia23,165.1165,50.7589,0,1,4,6,14,18,22,27,32,41
DENIS-P J0751164-253043,DENIS J075116.4-253043,Phan08a,13.161,11.708,L1.1,117.8183,-25.512,Gaia23,242.2444,0.6266,0,0,1,2,3,4,8,9,15,16
2MASSI J0847287-153237,SIPS J0847-1532,Cruz03,13.513,11.717,L1.5,131.8698,-15.5437,Gaia23,241.1199,17.0759,0,1,4,5,9,11,14,17,24,27
2MASS J13475911-7610054,DENIS J134759.0-761005,Kend07a,13.792,11.756,L0:,206.9961,-76.1681,Gaia23,306.3771,-13.676,0,2,2,3,3,4,5,6,6,8
2MASSW J1515008+484742,2MASSW J1515008+484742,Wils03,14.111,11.762,L6,228.7536,48.7948,Gaia23,80.7521,54.8866,0,2,5,6,11,14,23,32,39,51
2MASSW J0015447+351603,2MASSW J0015447+351603,Kirk00,13.878,11.763,L1.0,3.9366,35.2674,Gaia23,114.7581,-27.0371,0,1,7,10,10,12,18,22,27,33
WISEP J004701.06+680352.1,2MASS J00470038+6803543,Gizi12,15.604,11.768,L7 INT-G,11.7517,68.0651,PS1,122.5164,5.1971,0,0,0,0,2,3,5,6,7,7
2MASS J17534518-6559559,SIPS J1753-6559,Reid08b,14.095,11.784,L4:,268.4383,-65.9988,Gaia23,327.5624,-19.0504,0,0,0,0,0,3,4,4,7,9
2MASS J07414279-0506464,2MASS J07414279-0506464,Scho18;Cush18,14.173,11.794,L5:,115.4283,-5.1129,Gaia23,223.3162,8.7582,0,0,0,1,3,5,8,12,16,20
2MASS J06244595-4521548,2MASS J06244595-4521548,Reid08b,14.48,11.798,L6,96.1914,-45.3652,Gaia23,253.4371,-23.3961,0,1,1,2,3,5,7,7,11,14
2MASS J02271036-1624479,SIPS J0227-1624,Reid08b,13.573,11.799,L0.5:,36.793,-16.4132,Gaia23,192.0684,-65.3893,1,2,5,9,11,16,20,28,36,41
2MASS J10224821+5825453,2MASS J10224821+5825453,Reid08b,13.499,11.811,L1: FLD-G,155.7009,58.4293,Gaia23,152.0389,49.4507,1,2,4,5,9,15,22,30,33,36
CWISE J061741.79+194512.8,2MASS J06174191+1945135,Kirk21,NaN,11.826,L6.5,94.4246,19.7538,CatWISE,191.5905,1.7907,0,0,1,3,3,5,6,9,11,16
WISE J040418.01+412735.6,2MASS J04041807+4127398,Cast13,14.146,11.852,L2 pec,61.0753,41.461,Gaia23,157.304,-8.1926,0,0,0,1,2,2,6,7,11,16
2MASSW J0320284-044636,2MASS J03202839-0446358,Wils03,13.259,11.859,L0.5,50.1182,-4.7768,Gaia23,187.4487,-48.0614,0,1,3,6,12,17,29,35,42,56
