name,name_simbadable,ref_discovery,J_2MASS,W1,spt_ir,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,glon_j2000,glat_j2000,2 deg,4 deg,6 deg (Kepler),8 deg,10 deg,12 deg (TESS 1 detector),14 deg,16 deg,18 deg,20 deg
DENIS-P J144137.2-094558,DENIS J144137.2-094558,Mart99e,14.02,12.342,L1: FLD-G,220.4048,-9.7665,Gaia23,342.6084,44.4525,1,3,4,6,10,15,19,22,27,37
WISEA J071552.38-114532.9,2MASS J07155182-1145284,Kirk14,14.301,12.343,L4 pec (blue),108.9661,-11.758,Gaia23,226.1613,-0.0132,0,0,1,3,4,4,5,8,14,18
2MASS J17114559+4028578,G 203-50B,Radi08,15.004,12.348,L5.0,257.9401,40.4827,Gaia23,64.9698,35.5387,1,2,3,5,10,18,24,36,47,50
2MASP J0345432+254023,Cl* Melotte 22 KPNO 2,Kirk97a,13.997,12.35,L1:,56.4298,25.6731,Gaia23,165.2051,-22.5578,0,2,6,9,12,20,26,32,40,45
WISE J174102.78-464225.5,2MASS J17410280-4642218,Schn14,15.786,12.362,L7::,265.2615,-46.7059,CatWISE,344.2979,-8.4744,1,1,1,1,1,1,1,2,3,6
DENIS-P J1159+0057,DENIS J115938.4+005727,Mart99e,14.084,12.366,L0.4,179.9104,0.9574,Gaia23,275.3802,61.0275,1,3,8,11,15,18,19,29,35,48
2MASSI J1213033-043243,2MASS J12130336-0432437,Cruz03,14.683,12.366,L4.2,183.2639,-4.5455,Gaia23,285.1695,56.9966,0,1,4,6,11,18,24,30,35,41
2MASS J16573454+1054233,2MASS J16573454+1054233,Reid08b,14.15,12.371,L1.4,254.394,10.9065,Gaia23,29.9465,30.186,1,1,5,7,10,13,23,33,46,53
2MASSI J0408290-145033,SIPS J0408-1450,Wils03,14.222,12.375,L4.5,62.1211,-14.8427,Gaia23,208.2748,-42.7062,0,2,6,9,10,17,18,24,29,41
2MASSI J0512063-294954,2MASS J05120636-2949540,Cruz03,15.463,12.38,L3.8 INT-G,78.0265,-29.8316,PS1,232.2902,-33.4407,0,3,4,7,8,11,13,16,21,26
2MASS J21373742+0808463,2MASS J21373742+0808463,Reid08b,14.774,12.389,L5,324.4058,8.1462,Gaia23,62.8006,-31.3116,0,2,3,6,8,11,16,25,31,37
2MASS J23174712-4838501,2MASS J23174712-4838501,Reid08b,15.15,12.39,L6.5 pec (red),349.4463,-48.6473,Gaia23,336.7692,-61.8701,1,2,2,2,4,6,12,16,23,29
2MASS J07193188-5051410,SIPS J0719-5051,Reid08b,14.094,12.392,L0:,109.8828,-50.8614,Gaia23,262.1211,-16.5578,0,0,0,2,4,7,9,9,11,13
2MASS J05264348-4455455,DENIS J052643.4-445545,Kend07a,14.082,12.393,L1,81.6812,-44.9293,Gaia23,250.7231,-33.344,0,0,0,0,1,5,9,14,21,23
2MASS J19360187-5502322,SIPS J1936-5502,Reid08b,14.486,12.402,L4,294.0078,-55.0423,Gaia23,342.5583,-28.1842,0,0,0,3,4,6,8,9,12,17
2MASS J21371044+1450475,2MASS J21371044+1450475,Reid08b,14.133,12.406,L0.8,324.2935,14.8466,Gaia23,68.5786,-26.9013,1,1,4,6,8,11,14,16,25,33
2MASS J09352803-2934596,2MASS J09352803-2934596,Reid08b,14.036,12.408,L0.3,143.8668,-29.5832,Gaia23,259.7618,16.4232,1,1,1,2,4,7,11,14,19,21
2MASSW J0832045-012835,2MASSW J0832045-012835,Kirk00,14.128,12.414,L1:,128.0188,-1.4767,Gaia23,226.4018,21.4993,1,1,3,5,7,9,18,22,25,30
SDSS J092308.70+234013.7,2MASS J09230861+2340152,Schm10b,13.849,12.415,L2.3,140.7859,23.671,Gaia23,205.0025,43.1631,0,1,4,9,13,17,21,25,35,44
DENIS-P J154747.2-242349,DENIS J154747.2-242349,Reid08b,13.97,12.417,L0: INT-G,236.9466,-24.3971,Gaia23,346.5093,23.1932,0,3,14,20,22,23,25,28,32,35
2MASS J13384944+0437315,2MASS J13384944+0437315,Reid08b,14.157,12.426,L0.0,204.706,4.6254,Gaia23,331.6771,64.8187,1,1,6,11,14,25,31,39,44,50
2MASS J07555430-3259589,null,Scho18;Lodi19a,16.242,12.469,L7:,118.9762,-32.9997,CatWISE,249.1868,-2.3581,0,0,0,2,3,5,5,6,9,14
SIMP J04172478+1634364,Cl* Melotte 25 CFHT 19,Robe16,14.157,12.471,L0: gamma,64.3533,16.5768,Gaia23,177.8888,-23.6396,0,2,7,13,20,28,33,38,47,58
2MASS J01390900+8109597,Gaia DR3 565989347158652288,Maro20b,13.891,12.476,L1,24.7877,81.1667,Gaia23,124.8496,18.4733,1,1,1,1,1,3,4,6,7,7
2MASS J17065487-1314396,2MASS J17065487-1314396,Gagn15c,14.52,12.477,L5.0 FLD-G,256.7286,-13.2444,Gaia23,8.371,16.0859,0,0,1,4,6,8,11,15,28,33
DENIS-P J035726.9-441730,2MASS J03572695-4417305,Bouy03,14.367,12.488,L0 beta,59.3623,-44.2918,Gaia23,250.3208,-49.1926,0,3,4,6,7,9,12,16,23,28
Gaia J183610.72+031524.6,2MASS J18361069+0315224,Torr19;Kirk21,14.793,12.489,L6 v. red,279.0446,3.2563,Gaia23,34.0972,4.8772,0,0,0,1,2,4,5,5,6,9
2MASSI J0218291-313322,2MASSI J0218291-313322,Cruz03,14.728,12.495,L5.5,34.6213,-31.5564,Gaia23,231.3002,-70.556,0,2,2,4,6,10,13,17,24,33
Gaia J164824.31-291310.0,2MASS J16482431-2913100,Kirk21,14.809,12.502,L5 pec,252.1013,-29.2194,Gaia23,352.5458,10.0582,0,0,1,3,4,13,15,18,21,27
2MASSI J2107316-030733,2MASS J21073169-0307337,Cruz03,14.2,12.504,L0.5,316.882,-3.126,Gaia23,46.924,-31.4724,0,2,5,8,9,13,15,21,29,34
2MASSW J0135358+120522,2MASSW J0135358+120522,Kirk00,14.412,12.504,L0.6,23.8994,12.0894,Gaia23,139.6346,-49.3448,1,4,5,10,14,18,31,39,50,60
WISE J003110.04+574936.3,2MASS J00310928+5749364,Thom13,14.954,12.504,L9,7.7892,57.8268,PS1,120.2246,-4.9382,1,1,1,2,2,3,3,8,10,12
2MASS J11533966+5032092,2MASS J11533966+5032092,Reid08b,14.189,12.506,L0.3,178.4153,50.5359,Gaia23,144.2418,64.1347,0,3,3,5,10,16,22,26,33,41
2MASS J22431696-5932206,SIPS J2243-5932,Kend07a,14.074,12.51,L0:,340.8207,-59.539,Gaia23,328.1444,-50.851,0,1,3,4,5,9,11,12,17,20
2MASS J00285545-1927165,2MASS J00285545-1927165,Reid08b,14.191,12.514,L0.7,7.231,-19.4546,Gaia23,87.8061,-80.7508,0,1,6,9,13,14,16,19,28,41
2MASS J22425317+2542573,2MASSI J2242531+254257,Gizi03,14.812,12.514,L1.5,340.7217,25.7159,Gaia23,89.7907,-28.7585,0,0,1,4,8,11,14,20,25,33
2MASS J20135152-2806020,2MASS J20135152-2806020,Reid08b,14.242,12.521,L0: VL-G,303.4647,-28.1006,Gaia23,14.3462,-29.4107,0,2,2,3,5,7,7,14,16,19
SDSS J171714.10+652622.2,2MASS J17171408+6526221,Hawl02,14.95,12.54,L6.2,259.3086,65.4395,Gaia23,95.4888,34.2316,0,2,3,5,7,12,14,20,26,28
2MASS J13313310+3407583,2MASS J13313310+3407583,Reid08b,14.333,12.542,L0: FLD-G,202.888,34.1328,Gaia23,74.4739,78.8966,0,5,6,9,15,21,28,34,40,47
SSSPM J0219-1939,SSSPM J0219-1938,Lodi02b,14.11,12.545,L1:,34.8669,-19.6448,Gaia23,197.2697,-68.4986,0,2,4,5,9,16,18,26,33,41
2MASSW J0058425-065123,SIPS J0058-0651,Kirk00,14.311,12.545,L0.6 INT-G,14.6773,-6.8567,Gaia23,128.1292,-69.655,0,1,2,7,11,21,28,37,45,53
2MASS J20025073-0521524,2MASSI J2002507-052152,Cruz07,15.316,12.545,L7,300.7113,-5.3646,Gaia23,36.3115,-18.3165,0,1,2,3,4,4,5,9,11,18
2MASS J04210718-6306022,2MASSI J0421072-630602,Cruz07,15.565,12.548,L4.2 INT-G,65.28,-63.1006,CatWISE,274.7029,-40.7084,0,0,1,1,2,3,6,9,11,17
2MASS J01311838+3801554,2MASSI J0131183+380155,Cruz07,14.679,12.549,L1.5,22.8267,38.0321,Gaia23,131.5262,-24.1733,0,4,5,7,8,8,12,19,25,29
2MASS J01550354+0950003,2MASS J01550354+0950003,Reid08b,14.825,12.557,L3.2 INT-G,28.7648,9.8334,Gaia23,147.7432,-49.9484,0,2,5,10,14,16,25,33,49,62
2MASSW J1018588-290953,SIPS J1018-2909,Gizi02b,14.213,12.561,L0.3,154.7449,-29.1649,Gaia23,267.1199,22.907,1,1,3,4,6,9,12,17,25,26
2MASS J14090310-3357565,USNO-B1.0 0560-00310109,Kirk08,14.248,12.561,L1.3,212.263,-33.9657,Gaia23,320.8149,26.1965,0,1,2,5,7,8,10,12,18,23
2MASSI J1305410+204639,2MASS J13054106+2046394,Cruz03,15.201,12.561,L6.5,196.4211,20.7776,Gaia23,330.8114,82.865,1,1,3,3,6,11,16,23,37,49
2MASS J01415823-4633574,2MASS J01415823-4633574,Kirk06,14.832,12.563,L0: VL-G,25.4926,-46.5659,Gaia23,279.0976,-68.1545,0,0,1,4,6,7,16,21,27,32
DENIS J2354599-185221,2MASS J23545993-1852216,Mart10,14.178,12.566,L2.6:,358.7497,-18.8727,Gaia23,62.4435,-74.6291,1,2,4,7,13,19,23,30,35,44
2MASSI J2254519-284025,2MASS J22545194-2840253,Cruz03,14.134,12.567,L0.5,343.7164,-28.6737,Gaia23,22.6362,-64.2615,0,3,3,6,6,12,16,20,28,35
2MASS J21580457-1550098,2MASSI J2158045-155009,Kirk08,15.04,12.582,L5,329.519,-15.8361,Gaia23,39.5132,-48.3434,0,0,2,5,8,11,17,22,32,42
2MASSW J1246467+402715,2MASSW J1246467+402715,Kirk00,15.088,12.588,L4.0,191.6949,40.4542,Gaia23,126.7696,76.6394,1,3,5,8,15,19,25,30,33,41
DENIS-P J104731.1-181558,DENIS J104731.1-181558,Mart99e,14.199,12.589,L0: FLD-G,161.8794,-18.266,Gaia23,265.9965,35.5675,1,3,5,6,7,14,19,21,25,32
2MASS J17111353+2326333,2MASSI J1711135+232633,Cruz07,14.499,12.591,L1: INT-G,257.8063,23.4426,Gaia23,44.9481,31.8146,2,4,6,11,16,21,28,36,48,54
2MASS J12312141+4959234,2MASSI J1231214+495923,Cruz07,14.617,12.593,L3.4,187.8392,49.9898,Gaia23,131.1486,66.817,0,0,2,5,13,16,22,27,38,47
DENIS J1707252-013809,2MASS J17072529-0138093,Mart10,14.289,12.596,L1.0,256.8554,-1.636,Gaia23,18.8567,22.1496,0,1,3,3,6,9,18,21,29,32
SSSPM J2310-1759,SSSPM J2310-1759,Lodi02b,14.376,12.615,L1:,347.577,-17.986,Gaia23,49.0445,-64.9872,0,2,6,8,12,18,22,30,37,45
2MASS J23440624-0733282,2MASSI J2344062-073328,Kirk08,14.802,12.622,L6.0,356.026,-7.5579,Gaia23,80.6412,-64.7461,0,1,4,6,8,17,26,33,43,53
2MASS J03185403-3421292,2MASSI J0318540-342129,Kirk08,15.569,12.622,L6.5,49.7253,-34.3581,Gaia23,235.0331,-57.6868,0,1,5,8,8,12,17,23,26,32
2MASSI J0316451-284852,SIPS J0316-2848,Cruz03,14.578,12.642,L1.7 INT-G,49.1881,-28.8145,Gaia23,224.5883,-57.9948,1,2,6,6,12,15,17,23,28,37
WISEA J065958.55+171710.9,2MASS J06595849+1717162,Kirk14,14.841,12.642,L2,104.9938,17.2877,Gaia23,198.3476,9.6224,0,0,0,0,2,5,7,10,15,19
WISEA J134824.42-422744.9,2MASS J13482456-4227441,Kirk16,14.919,12.643,L2,207.1024,-42.4623,Gaia23,314.0115,19.1805,0,1,1,1,5,8,9,10,14,19
VHS J125601.92-125723.9 b,SIPS J1256-1257B,Gauz15,16.662,12.643,L7:: VL-G,194.0076,-12.9574,CatWISE,304.669,49.8988,0,1,1,3,6,10,15,24,29,36
2MASS J14283132+5923354,2MASS J14283132+5923354,Reid08b,14.781,12.652,L4.4,217.1304,59.3932,Gaia23,102.249,53.6623,1,3,4,6,12,16,21,24,29,39
2MASS J15500845+1455180,** BUG 13A,Cruz07,14.776,12.665,L2.5,237.5352,14.9215,Gaia23,25.8712,46.7978,1,4,9,12,15,22,27,35,44,50
WISE J185101.83+593508.6,2MASS J18510178+5935040,Thom13,14.939,12.67,L9,282.7574,59.5845,Gaia23,89.5079,23.2058,0,1,1,2,3,8,13,18,20,25
WISEA J032301.88+562558.0,2MASS J03230145+5626012,Luhm14c,15.62,12.67,L7,50.7568,56.4339,PS1,142.7862,-0.4785,0,0,0,0,0,0,0,0,4,5
2MASSW J1615441+355900,2MASSW J1615441+355900,Kirk00,14.539,12.673,L3.6,243.934,35.9832,Gaia23,57.7468,46.0877,0,2,6,10,15,19,29,38,47,58
WISE J160018.05-454332.7,2MASS J16001853-4543248,Luhm14a,14.994,12.676,L9:,240.0771,-45.7237,Gaia23,333.9114,5.482,0,0,0,1,2,2,2,3,7,10
2MASS J07415784+0531568,2MASS J07415784+0531568,Kirk10,14.387,12.683,L1.5,115.491,5.5325,Gaia23,213.7251,13.7496,0,0,1,1,1,3,8,16,22,29
2MASS J08355829+0548308,ULAS2MASS J0835+0548,Reid08b,14.533,12.693,L1.7,128.9929,5.8086,Gaia23,219.9367,25.858,0,1,4,9,12,14,17,25,32,38
SDSS J161928.31+005011.9,2MASS J16192830+0050118,Hawl02,14.391,12.708,L1.3,244.868,0.8366,Gaia23,14.1715,33.6713,0,1,5,6,10,14,24,29,34,43
PSO J004.7818+41.0231,PSO J004.7818+41.0231,Alle16a,14.15,12.733,L0.1: FLD-G,4.7815,41.0235,Gaia23,116.3921,-21.4375,1,1,2,3,7,13,15,18,26,31
2MASS J20343769+0827009,2MASS J20343769+0827009,Reid08b,14.464,12.733,L0.5,308.657,8.4503,Gaia23,53.0983,-18.4273,0,1,1,2,5,6,8,17,20,24
ULAS J010907.51+062559.0,2MASS J01090780+0625582,Skrz16,14.606,12.734,L1.5,17.2805,6.4327,Gaia23,130.8396,-56.1672,0,1,7,15,21,29,35,46,54,61
Gaia J064025.19-235219.4,2MASS J06402517-2352194,Kirk21,15.075,12.736,L5,100.105,-23.8721,Gaia23,233.3567,-12.9232,0,1,1,3,5,5,6,8,10,14
2MASS J13411160-3052505,SIPS J1341-3052,Reid08b,14.607,12.737,L2.7:,205.2984,-30.8807,Gaia23,315.3585,30.7876,0,0,1,4,6,12,13,15,16,18
2MASSW J0051107-154417,2MASSW J0051107-154417,Kirk00,15.277,12.753,L5:,12.795,-15.738,Gaia23,122.6175,-78.6096,1,1,4,6,10,14,18,26,32,41
DENIS J1004403-131818,2MASS J10044030-1318186,Mart10,14.685,12.766,L1:,151.1679,-13.3053,Gaia23,252.5695,32.8067,1,4,4,6,8,12,16,21,31,39
SDSSp J010752.33+004156.1,2MASS J01075242+0041563,Geba02,15.824,12.766,L7 pec,16.968,0.6991,PS1,131.6785,-61.8932,1,5,8,14,17,23,30,38,48,61
2MASSW J2244316+204343,2MASS J22443167+2043433,Dahn02,16.476,12.775,L6: VL-G,341.1322,20.7285,PS1,86.9635,-33.1337,0,2,5,5,6,13,18,22,31,41
2MASS J08230838+6125208,2MASS J08230838+6125208,Reid08b,14.82,12.781,L2.5,125.7847,61.4224,Gaia23,155.2435,34.4902,0,1,1,6,9,10,14,19,26,34
2MASS J13364062+3743230,2MASSI J1336406+374323,Cruz07,14.412,12.782,L0.4,204.1691,37.723,Gaia23,83.8304,75.7621,1,6,9,12,16,24,29,33,38,49
DENIS J1206501-393725,2MASS J12065011-3937261,Mart10,14.316,12.785,L1.9,181.7088,-39.6239,Gaia23,293.6574,22.4432,2,3,3,7,10,11,13,14,16,24
2MASSW J1411175+393636,2MASSW J1411175+393636,Kirk00,14.64,12.791,L1.5,212.8224,39.6101,Gaia23,74.9811,69.2552,0,0,4,9,17,23,32,38,45,54
2MASS J04362054-4218523,2MASS J04362054-4218523,Reid08b,14.489,12.793,L0.4,69.0856,-42.3145,Gaia23,246.7455,-42.2853,0,1,2,6,8,11,13,15,21,25
2MASS J00332386-1521309,2MASS J00332386-1521309,Gizi03,15.286,12.794,L1: FLD-G,8.3495,-15.3586,Gaia23,102.4145,-77.5059,1,2,6,8,13,17,18,23,34,40
2MASSI J1315309-264951,2MASS J13153094-2649513,Hall02a,15.195,12.795,L6.7,198.8786,-26.8311,Gaia23,309.551,35.731,0,2,3,5,6,6,10,16,22,30
2MASS J23140244+6939368,2MASS J23140244+6939368,Alle16b;Sang23,15.296,12.797,L8,348.51,69.6603,Gaia23,114.603,8.3793,0,0,1,1,2,2,2,6,7,9
SDSS J081110.35+185527.9,2MASS J08111040+1855280,Schm15,14.478,12.798,L1,122.7932,18.9245,Gaia23,203.8856,25.7797,1,1,7,9,14,19,24,30,35,39
2MASSW J0829066+145622,2MASSI J0829066+145622,Kirk00,14.75,12.798,L1.0,127.2776,14.9395,Gaia23,209.8539,28.2312,0,0,6,10,15,21,24,31,34,43
2MASS J08234818+2428577,2MASS J08234818+2428577,Reid08b,14.986,12.804,L1.5,125.9507,24.4827,Gaia23,199.1034,30.4399,0,2,4,8,17,20,28,32,38,42
SDSS J132715.21+075937.5,2MASS J13271524+0759375,Schm10b,14.599,12.817,L0.5,201.8136,7.9938,Gaia23,328.491,69.069,0,1,5,10,17,25,31,35,41,52
2MASS J19285196-4356256,2MASS J19285196-4356256,Reid08b,15.199,12.817,L4 pec,292.2166,-43.9404,Gaia23,354.4791,-24.8727,1,1,1,2,4,6,7,9,12,17
2MASS J00165953-4056541,2MASS J00165953-4056541,Kirk08,15.316,12.822,L4.5:,4.2481,-40.9483,Gaia23,327.9114,-74.4662,0,5,6,10,11,11,16,20,23,28
2MASS J23302258-0347189,SIPS J2330-0347,Cruz07,14.475,12.826,L0.5,352.5942,-3.7886,Gaia23,79.7303,-59.6779,1,1,2,5,12,19,25,33,48,55
WISE J064336.71-022315.4,2MASS J06433670-0223130,Mama18,15.482,12.826,L8,100.9029,-2.387,Gaia23,214.1661,-2.8287,0,0,1,2,3,3,5,7,10,12
2MASS J04012977-4050448,2MASS J04012977-4050448,Reid08b,14.533,12.83,L0.0,60.3741,-40.8458,Gaia23,244.9698,-48.8457,1,3,5,7,7,10,14,19,24,28
EROS-MP J0032-4405,EROS-MP J0032-4405,Eros99c,14.776,12.833,L0: VL-G,8.2327,-44.0849,Gaia23,314.1288,-72.6387,0,1,5,8,10,13,19,22,25,27
2MASSW J2206450-421721,2MASSW J2206450-421721,Kirk00,15.555,12.839,L3.3 INT-G,331.6875,-42.2892,Gaia23,357.6223,-53.3601,0,0,0,1,4,5,11,11,16,24
GJ 618.1B,GJ 618.1 B,Wils01b,15.283,12.84,L2.4,245.109,-4.2755,Gaia23,9.3161,30.6213,2,3,6,6,8,15,16,21,27,46
SIMP J09475068+0617139,2MASS J09475068+0617139,Robe16,14.487,12.842,L0:,146.9612,6.2872,Gaia23,229.9126,41.7271,0,2,3,3,7,11,12,24,34,40
2MASSW J1326201-272937,DENIS J132620.0-272936,Gizi02b,15.847,12.844,L6.6:,201.5836,-27.4936,PS1,312.3554,34.7388,0,1,3,4,5,8,10,16,21,25
2MASS J16304139+0938446,2MASS J16304139+0938446,Reid08b,14.871,12.845,L0.4:,247.6725,9.6457,Gaia23,25.1631,35.5918,0,1,5,8,13,22,26,35,44,51
2MASS J09593276+4523309,2MASS J09593276+4523309,Fahe16,15.88,12.845,L3 gamma,149.8865,45.3919,PS1,173.0982,51.437,1,2,4,6,9,12,19,26,35,42
2MASS J12073804-3909050,2MASS J12073804-3909050,Reid08b,14.689,12.846,L0.9,181.9085,-39.1514,Gaia23,293.7271,22.9361,2,3,4,6,10,11,13,16,17,24
2MASSW J0337036-175807,2MASSW J0337036-175807,Kirk00,15.621,12.848,L4.3 FLD-G,54.2649,-17.9688,PS1,208.3184,-50.8636,0,2,2,6,10,14,18,26,39,48
2MASS J23211254-1326282,2MASS J23211254-1326282,Kend07a,14.5,12.853,L1,350.3024,-13.4412,Gaia23,61.4456,-64.8746,1,2,6,6,14,19,23,29,37,52
G 259-20B,2MASS J17430860+8526594,Luhm12d,14.557,12.861,L5,265.7852,85.4499,Gaia23,117.9874,28.3775,0,0,1,1,1,3,3,4,6,10
2MASS J20414283-3506442,2MASSI J2041428-350644,Cruz07,14.887,12.863,L0.7 FLD-G,310.4285,-35.1123,Gaia23,7.8586,-36.8139,0,0,0,4,8,12,13,16,20,24
2MASS J17461199+5034036,2MASS J17461199+5034036,Reid08b,15.096,12.878,L5.7,266.5499,50.5676,Gaia23,77.7651,30.7266,1,3,5,9,10,16,20,25,29,33
DENIS J2139136-352950,2MASS J21391365-3529507,Mart10,14.565,12.887,L2.1:,324.8069,-35.4974,Gaia23,9.008,-48.5138,0,1,3,3,5,9,12,15,20,25
2MASSI J1010148-040649,2MASS J10101480-0406499,Cruz03,15.508,12.888,L6,152.5615,-4.1139,PS1,245.4165,40.1151,0,0,1,4,8,16,20,24,34,42
WISEA J020047.29-510521.4,2MASS J02004709-5105206,Kirk21,16.414,12.889,L7,30.1962,-51.089,CatWISE,278.8677,-62.6764,1,1,3,6,9,11,14,15,22,27
SDSS J163256.13+350507.2,2MASS J16325610+3505076,Schm15,14.65,12.892,L0.7,248.2338,35.0854,Gaia23,56.9137,42.5252,0,2,5,8,16,25,29,39,51,57
SDSS J004154.54+134135.5,2MASS J00415453+1341351,Hawl02,14.454,12.893,L0.6,10.4773,13.6932,Gaia23,119.3948,-49.113,1,4,7,10,22,28,31,48,55,60
2MASSI J0859254-194926,2MASSI J0859254-194926,Cruz03,15.527,12.894,L8,134.856,-19.824,PS1,246.4843,16.7976,1,1,3,5,7,10,17,18,23,26
2MASS J03582255-4116060,2MASS J03582255-4116060,Reid08b,15.846,12.904,L6 pec,59.5939,-41.2683,CatWISE,245.6872,-49.3972,1,3,5,7,7,9,14,20,24,29
2MASS J21265040-8140293,2MASS J21265040-8140293,Reid08b,15.542,12.911,L2.4 VL-G,321.7098,-81.6748,Gaia23,310.5849,-32.1415,0,0,0,3,3,3,4,5,8,13
2MASS J13061727+3820296,2MASS J13061727+3820296,Reid08b,14.63,12.916,L0.6,196.572,38.3416,Gaia23,108.3495,78.3631,0,2,8,14,17,20,26,31,38,45
SDSS J155644.35+172308.9,2MASS J15564434+1723089,Schm10b,14.669,12.922,L0.7,239.1848,17.3858,Gaia23,30.0647,46.2833,2,6,8,14,18,23,28,34,44,57
2MASSW J0205034+125142,2MASSW J0205034+125142,Kirk00,15.679,12.923,L5.5,31.2645,12.8617,PS1,149.338,-46.2012,1,2,3,7,13,17,27,36,44,52
2MASS J15392137+6502364,2MASS J15392137+6502364,Fahe09,14.604,12.927,L1,234.8391,65.0435,Gaia23,99.9012,43.8331,0,1,4,7,10,16,17,21,26,31
WISEA J060742.13+455037.0,2MASS J06074202+4550435,Kirk14,14.942,12.928,L2.5,91.9251,45.8453,Gaia23,167.3174,12.0963,0,1,1,6,7,8,8,11,16,21
2MASS J21075409-4544064,2MASS J21075409-4544064,Reid08b,14.915,12.935,L2.6,316.9754,-45.7351,Gaia23,354.4815,-42.4499,0,0,0,3,4,9,11,11,19,24
SSSPM J2400-2008,SSSPM J2400-2008,Lodi05b,14.382,12.936,L1,359.9902,-20.1279,Gaia23,60.9164,-76.3013,1,3,4,7,11,16,23,28,36,44
2MASSI J1059513-211308,2MASS J10595138-2113082,Cruz03,14.556,12.937,L2,164.9642,-21.219,Gaia23,270.9256,34.6256,0,3,6,6,8,12,14,20,27,32
CWISE J091735.38-634451.2,WISE J091735.47-634451.5,Kirk21,16.093,12.937,L7,139.3982,-63.7477,CatWISE,281.7746,-10.054,0,0,0,2,2,3,4,7,9,9
DENIS J0230450-095305,2MASS J02304498-0953050,Mart10,14.818,12.941,L0.9,37.6875,-9.8848,Gaia23,181.2891,-60.9286,1,2,3,12,14,17,24,28,37,42
WISEA J173453.90-481357.9,2MASS J17345400-4813556,Kirk21,16.285,12.944,L5,263.7251,-48.2321,CatWISE,342.4341,-8.382,1,1,1,1,1,1,2,2,4,5
2MASS J04070752+1546457,2MASS J04070752+1546457,Reid08b,15.478,12.946,L3: FLD-G,61.7814,15.7793,Gaia23,176.7613,-26.0251,1,3,8,13,21,30,36,42,52,55
SDSS J080531.84+481233.0,2MASS J08053189+4812330,Hawl02,14.734,12.952,L9:,121.3827,48.2092,Gaia23,171.0289,31.8972,2,3,5,8,9,14,21,24,29,35
2MASS J02192196+0506306,2MASS J02192196+0506306,Fahe09,14.971,12.952,L3.0,34.8415,5.1085,Gaia23,159.6202,-51.3896,1,2,2,6,9,15,26,36,45,58
SDSS J000112.18+153535.5,2MASS J00011217+1535355,Knap04,15.522,12.955,L3.7 INT-G,0.3007,15.5932,Gaia23,105.5223,-45.5735,2,4,5,12,21,24,32,41,48,60
2MASSI J0453264-175154,2MASS J04532647-1751543,Cruz03,15.142,12.956,L2.5 INT-G,73.3603,-17.8651,Gaia23,217.028,-33.8481,0,1,2,4,8,13,18,21,25,32
WISEA J053424.45+165255.0,2MASS J05342451+1652559,Schn16a,15.445,12.96,L2 (pec),83.6021,16.8822,Gaia23,188.9234,-8.5376,0,1,2,3,3,7,10,16,18,26
2MASS J11000965+4957470,2MASS J11000965+4957470,Reid08b,15.282,12.964,L3,165.0402,49.963,Gaia23,158.3616,58.8106,0,0,2,6,11,20,21,26,32,39
2MASS J03264225-2102057,2MASS J03264225-2102057,Gizi03,16.134,12.964,L4.1 FLD-G,51.6761,-21.035,PS1,211.7416,-54.1839,1,2,3,4,8,14,20,27,36,44
SDSS J151240.67+340350.1,2MASS J15124058+3403501,Schm10b,15.04,12.967,L0.7,228.1693,34.0639,Gaia23,54.6006,58.9873,1,1,3,7,12,18,29,35,46,57
DENIS J2013108-124244,2MASS J20131084-1242452,Mart10,14.672,12.972,L0.7,303.2951,-12.7126,Gaia23,30.3922,-23.7952,0,0,0,3,3,4,7,11,19,19
TWA 29,TWA 29,Loop07b,14.518,12.974,L0: VL-G,191.309,-44.4855,Gaia23,301.7664,18.3722,0,1,2,2,5,7,7,12,16,23
DENIS J2308113-272200,SIPS J2308-2721,Mart10,14.662,12.976,L1.4,347.0475,-27.3668,Gaia23,26.3575,-67.0922,0,2,4,5,8,11,21,23,29,36
SDSS J153453.33+121949.2,2MASS J15345325+1219495,Chiu06,15.332,12.986,L4:,233.722,12.3304,Gaia23,19.993,49.0193,0,0,5,9,12,20,23,34,43,54
2MASSW J1035245+250745,2MASSW J1035246+250745,Kirk00,14.758,12.992,L1.1,158.8522,25.1291,Gaia23,208.8967,59.4945,1,2,3,6,11,13,22,24,35,40
WISEA J064750.85-154616.4,2MASS J06475076-1546179,Scho14b,15.314,12.995,L9.5,101.9616,-15.7716,PS1,226.6577,-7.895,0,0,1,2,5,6,7,9,14,15
2MASS J09054654+5623117,2MASS J09054654+5623117,Reid08b,15.395,12.995,L6,136.4439,56.3866,Gaia23,160.4079,40.7135,2,2,6,8,10,16,22,27,30,37
2MASS J23254530+4251488,2MASSI J2325453+425148,Cruz07,15.493,12.996,L7.5:,351.4388,42.8634,Gaia23,106.6507,-17.2831,0,2,2,2,5,8,11,12,17,24
WISEA J214155.85-511853.1,2MASS J21415505-5118506,Luhm14c,15.075,12.997,L6 pec (blue),325.4795,-51.3141,Gaia23,345.4449,-47.106,0,0,0,1,3,6,9,17,19,22
2MASS J02103857-3015313,2MASS J02103857-3015313,Gagn15c,15.066,12.998,L1.0 VL-G,32.6607,-30.2587,Gaia23,227.8394,-72.3744,0,1,2,3,4,10,12,19,23,31
