name,ra_j2000_formula,dec_j2000_formula
2MASS J03001631+2130205,45.068,21.5057
PM I22118-1005B,332.9218,-10.1384
PSO J358.5527+22.1393,358.5524,22.1396
WISEA J212354.78-365223.4,320.9767,-36.8725
WISEA J015812.03+323157.9,29.5488,32.5336
SDSS J074838.61+174332.9,117.161,17.7259
2MASS J22120703+3430351,333.0293,34.5098
WISE J135307.51-085712.0,208.2823,-8.9533
SDSS J085234.90+472035.0,133.1454,47.3431
WISEA J005811.69-565332.1,14.5476,-56.8924
NLTT 31450B,189.955,32.1515
WISEA J131211.10-761740.9,198.0488,-76.2932
WISEA J211807.07-321713.5,319.5291,-32.2861
2MASS J23253519+4608098,351.3966,46.1361
2MASS J17120142+3108217,258.0059,31.1393
PM I23492+3458B,357.313,34.9823
2MASS J23155665-4747315,348.9862,-47.7921
WISEA J010738.75-131413.7,16.9112,-13.237
PSO J319.7576-13.0982,319.7571,-13.0982
SDSS J151110.91+434036.3,227.7954,43.6769
SIMP J13174922+0448149,199.4552,4.8041
Hya09,71.6473,14.8572
WISEA J235422.31-081129.7,358.5927,-8.1914
HIP 73169B,224.2985,-6.324
2MASS J15543602+2724487,238.6501,27.4136
ULAS J225016.39+080822.4,342.5678,8.1402
COCONUTS-3B,123.3429,-15.3679
WISEPC J232728.75-273056.5,351.8689,-27.5159
WISE J173859.27+614242.1,264.7468,61.711
2MASS J21015233-2944050,315.4681,-29.7348
SDSS J163050.01+005101.3,247.7083,0.8504
SIMP J11384458+0748213,174.6858,7.8059
PSO J255.0913+10.3263,255.0914,10.3264
WISEA J020110.68-523916.9,30.2927,-52.6551
PSO J336.9036-18.9148,336.9029,-18.9153
2MASS J12492272+0310255,192.3448,3.1737
SIMP J21570693-0130348,329.279,-1.5097
2MASS J10212570-2830427,155.3571,-28.5119
PSO J088.0452+43.2123,88.0452,43.2125
2MASS J15025475+5044252,225.7281,50.7404
ULAS J232715.67+151729.5,351.8155,15.2919
NLTT 27966B,174.1654,48.8778
WISE J044633.45-242956.8,71.6399,-24.5002
SDSS J075656.54+231458.5,119.2346,23.2493
PSO J036.9069+08.5025,36.9059,8.5029
WISEA J023749.81-260543.8,39.4577,-26.0954
2MASS J12535039-4211215,193.4599,-42.1893
ULAS J222711-004547,336.7954,-0.763
WISE J052857.68+090104.4,82.2405,9.018
2MASS J13451417+4757231,206.3091,47.9564
PSO J334.2624+28.9438,334.2621,28.944
CWISE J050626.96+073842.4,76.6122,7.6456
SIMP J10391406-1904471,159.8087,-19.0797
SIMP J15371974-0800344,234.3323,-8.0096
WISEA J085633.87-181546.6,134.1409,-18.2622
PSO J159.0433-27.6357,159.0434,-27.6349
2MASS J03511847-1149326,57.827,-11.8257
2MASS J04062677-3812102,61.6115,-38.2028
2MASS J11271382-3735076,171.8075,-37.5855
SIMP J18115567+2728407,272.982,27.478
SIMP J10144907+1900041,153.7046,19.0011
2MASS J16195827-2832276,244.9928,-28.541
2MASS J15500191+4500451,237.508,45.0126
SIMP J03070255+0852139,46.7606,8.8706
2MASS J02151451+0453179,33.8105,4.8883
2MASS J22062157-6116284,331.5898,-61.2744
PSO J153.7969-11.3631,153.7971,-11.363
WISEA J044105.56+213001.5,70.2729,21.5005
2MASS J17161258+4125143,259.0525,41.4206
WISEA J204902.80-745613.5,312.2607,-74.9368
ULAS J093930.74+065309.8,144.8783,6.8862
USco J163919.15-253409.9,249.8294,-25.5683
2MASS J11213919-1053269,170.4133,-10.8909
ULAS J113850.09-002451.3,174.7086,-0.4141
SDSS J144128.52+504600.4,220.3688,50.7669
PSO J063.1519-02.8904,63.1516,-2.8903
SDSS J232804.58-103845.7,352.0191,-10.6459
SIMP J11272648+1234310,171.8602,12.5753
ULAS J150140.69-005146.8,225.4198,-0.8629
PSO J321.1619+18.8243,321.1612,18.8241
SDSS J024256.98+212319.6,40.7373,21.3888
SDSS J082030.12+103737.0,125.1257,10.627
PSO J162.0614+13.9756,162.0614,13.976
SDSS J141659.78+500626.4,214.2495,50.1073
WISE J17405782+1317094,265.241,13.2865
2MASS J15163838+3333576,229.1599,33.566
ULAS J094136.50+094214.2,145.4025,9.704
PSO J244.1180+06.3598,244.1184,6.3598
WISEA J013556.99-620245.5,23.9863,-62.0462
SIMP J12173549+0708334,184.3978,7.1426
WISEA J223444.44-230916.1,338.6838,-23.1544
ULAS J223756.91+071656.8,339.4874,7.2826
PSO J048.9806+07.5414,48.9804,7.5412
SDSS J103321.92+400549.5,158.3412,40.0973
SIMP J12184982-1332525,184.7074,-13.5478
2MASS J01414428+2227409,25.4346,22.4614
SDSS J121659.17+300306.3,184.2465,30.0516
2MASS J13081228+6103486,197.0512,61.0635
SIMP J11171536+1857037,169.3139,18.951
Cha 130540-773958,196.42,-77.6662
2MASS J13064517+4548552,196.6881,45.8151
Luhman 16,162.3288,-53.3195
ULAS J124052.92+112940.4,190.2205,11.4944
2MASS J04433761+0002051,70.9067,0.0348
2MASSI J0652307+471034,103.128,47.1764
DENIS-P J0652197-253450,103.0823,-25.5807
2MASSW J1555157-095605,238.8157,-9.935
2MASS J17502484-0016151,267.6034,-0.2708
2MASS J18000116-1559235,270.0049,-15.99
2MASSI J2057540-025230,314.4754,-2.8751
2MASS J15200224-4422419,230.0091,-44.3785
WISEP J180026.60+013453.1,270.1103,1.5825
WISEP J060738.65+242953.4,91.9126,24.4991
SSSPM J2356-3426,359.0451,-34.4346
DENIS-P J0751164-253043,117.8183,-25.512
2MASSI J0847287-153237,131.8698,-15.5437
2MASS J06244595-4521548,96.1914,-45.3652
2MASSW J0320284-044636,50.1182,-4.7768
DENIS-P J1733423-165449,263.4261,-16.9139
2MASS J05445741+3705039,86.2392,37.0845
2MASS J20360316+1051295,309.0132,10.8582
Gl 417BC,168.1068,35.8035
DENIS-P J122813.8-154711,187.0635,-15.793
DENIS-P J0812316-244442,123.1322,-24.7451
2MASS J02284355-6325052,37.1811,-63.4182
2MASS J22551861-5713056,343.8274,-57.2184
2MASS J09153413+0422045,138.8923,4.368
DENIS-P J153941.96-052042.4,234.9247,-5.3452
2MASS J23224684-3133231,350.6951,-31.5565
DENIS-P J0615493-010041,93.9557,-1.0116
2MASS J06411840-4322329,100.3268,-43.3757
Gaia J062317.14+263131.8,95.8214,26.5255
DENIS-P J1048278-525418,162.1161,-52.905
2MASS J13595510-4034582,209.9796,-40.5829
PSO J318.4243+35.1277,318.4239,35.128
DENIS-P J090957.1-065806,137.4895,-6.9718
2MASS J15485834-1636018,237.243,-16.6006
2MASS J07231462+5727081,110.8109,57.4522
SSSPM J0109-4955,17.2883,-49.9148
2MASSW J0717163+570543,109.3178,57.0953
2MASS J21501592-7520367,327.5657,-75.3435
2MASSI J1017075+130839,154.2815,13.1444
WISEA J055007.94+161051.9,87.5323,16.1819
WISE J174102.78-464225.5,265.2615,-46.7059
2MASS J09352803-2934596,143.8668,-29.5832
2MASS J01390900+8109597,24.7877,81.1667
Gaia J164824.31-291310.0,252.1013,-29.2194
WISE J003110.04+574936.3,7.7892,57.8268
2MASSW J0058425-065123,14.6773,-6.8567
2MASS J20025073-0521524,300.7113,-5.3646
2MASS J12312141+4959234,187.8392,49.9898
WISEA J134824.42-422744.9,207.1024,-42.4623
VHS J125601.92-125723.9 b,194.0076,-12.9574
WISE J185101.83+593508.6,282.7574,59.5845
PSO J004.7818+41.0231,4.7815,41.0235
2MASS J20343769+0827009,308.657,8.4503
Gaia J064025.19-235219.4,100.105,-23.8721
2MASS J13411160-3052505,205.2984,-30.8807
2MASS J08230838+6125208,125.7847,61.4224
2MASS J19285196-4356256,292.2166,-43.9404
2MASS J23302258-0347189,352.5942,-3.7886
2MASSI J1010148-040649,152.5615,-4.1139
2MASSI J0859254-194926,134.856,-19.824
WISEA J060742.13+455037.0,91.9251,45.8453
WISEA J173453.90-481357.9,263.7251,-48.2321
WISEA J053424.45+165255.0,83.6021,16.8822
2MASS J11000965+4957470,165.0402,49.963
TWA 29,191.309,-44.4855
SDSS J155120.86+432930.3,237.837,43.4918
2MASS J16452207+3004071,251.3419,30.0686
2MASSI J0117474-340325,19.4479,-34.0572
2MASS J23392527+3507165,354.8553,35.1213
2MASS J20261584-2943124,306.566,-29.7203
2MASS J21512543-2441000,327.8562,-24.6833
2MASSW J0928397-160312,142.1654,-16.0535
2MASS J23433470-3646021,355.8946,-36.7673
2MASS J02410564-5511466,40.2735,-55.1963
2MASSI J0103320+193536,15.8837,19.5935
2MASSW J0326137+295015,51.557,29.8376
CWISE J053204.60+111955.1,83.0189,11.3321
2MASS J22444905-3045535,341.2044,-30.7649
2MASS J23512200+3010540,357.8417,30.1816
SDSS J165450.79+374714.6,253.7116,37.7874
2MASS J02340093-6442068,38.5039,-64.702
2MASS J05161597-3332046,79.0666,-33.5346
2MASS J05104958-1843548,77.7067,-18.7319
PSO J136.5494-06.1944,136.5493,-6.1944
2MASSI J0753321+291711,118.384,29.2866
WISEA J053257.29+041842.5,83.2379,4.3131
SDSS J145502.93+261919.6,223.7619,26.3222
2MASS J17561080+2815238,269.0449,28.2565
2MASS J01385967+8110079,24.7488,81.169
SIMP J04323767-0639501,68.157,-6.664
2MASS J21420580-3101162,325.5243,-31.0212
2MASSI J0125369-343505,21.4038,-34.5847
2MASS J21481326-6323265,327.0553,-63.3908
SDSS J104335.08+121314.1,160.8962,12.2208
2MASSW J0740096+321203,115.0402,32.2008
SDSS J020735.60+135556.3,31.8983,13.9323
2MASSW J1743415+212707,265.9229,21.452
2MASS J18392735+4424484,279.864,44.4134
2MASS J12070374-3151298,181.7655,-31.8583
2MASS J02583123-1520536,44.63,-15.3484
PSO J009.8334+58.5781,9.8318,58.5785
SDSS J145255.58+272324.4,223.2318,27.3904
2MASS J15552840+5918155,238.8683,59.3043
2MASS J19564700-7542270,299.1959,-75.7075
2MASS J01414839-1601196,25.4516,-16.0221
2MASS J01531463-6744181,28.311,-67.7384
2MASS J14313097+1436539,217.8788,14.615
2MASS J23255604-0259508,351.4836,-2.9975
NLTT 1011B,4.8865,40.3159
HIP 85365B,261.5931,-5.0364
2MASS J09481259+5300387,147.0525,53.0107
SIMP J15102256-1147125,227.594,-11.7868
2MASS J21555848+2345307,328.9936,23.7585
2MASS J06272161-5308428,96.8401,-53.1452
2MASSW J0929336+342952,142.3901,34.498
2MASS J10315064+3349595,157.9609,33.8332
WISEA J124135.42-245748.9,190.3984,-24.9629
2MASSW J0829570+265510,127.4878,26.9195
2MASS J09553336-0208403,148.889,-2.1447
PSO J276.8234+22.4380,276.8232,22.438
WISEA J195311.04-022954.7,298.2965,-2.4974
SDSS J084307.95+314129.2,130.7831,31.6915
SDSS J154009.36+374230.3,235.0392,37.7088
2MASS J03420931-2904317,55.5389,-29.0755
WISEA J203751.31-421645.2,309.4629,-42.2781
PSO J108.4590+38.2086,108.4591,38.2087
WISE J200403.17-263751.7,301.013,-26.6293
SDSS J020551.36-075925.0,31.4641,-7.9903
WISEA J130729.56-055815.4,196.8743,-5.9708
SDSS J065405.63+652805.4,103.5235,65.4681
2MASSW J2101154+175658,315.3145,17.9496
PSO J218.5616-27.8952,218.5619,-27.8952
2MASS J12594167+1001380,194.9237,10.0274
WISEA J171454.88+064349.8,258.7288,6.7314
CWISE J063649.77-542429.2,99.2072,-54.4089
WISE J150406.66-455223.9,226.0309,-45.8724
SIMP J09155650+0514212,138.9854,5.2392
SDSS J214046.55+011259.7,325.1941,1.2165
WISEA J233333.46+025128.4,353.3886,2.8573
PSO J280.2973+63.2600,280.2976,63.2596
SDSS J100711.74+193056.2,151.7994,19.5155
HIP 59933B,184.402,14.4534
PSO J167.1132+08.6331,167.114,8.6341
2MASS J19415458+6826021,295.4772,68.4339
2MASS J01392388-1845029,24.8495,-18.7508
WISEA J130523.06-395104.9,196.347,-39.8513
2MASS J21513979+3402444,327.9159,34.0457
2MASS J22295358+1556180,337.4733,15.9384
SIMP J09213274-1534290,140.3865,-15.5749
Hya12,68.9288,13.3959
WISEA J041353.96-202320.3,63.4749,-20.3879
PSO J041.5426+01.9456,41.5425,1.9458
2MASS J06143818+3950357,93.6591,39.8432
PSO J313.1067+32.9117,313.1064,32.9119
PSO J313.6-027.7,313.6806,-27.7643
SDSS J081812.28+331048.2,124.5513,33.18
WISEA J201204.11+672608.0,303.0158,67.4351
SDSS J062621.22+002934.2,96.5884,0.4928
SDSS J102552.43+321234.0,156.4681,32.2097
2MASS J12474944-1117551,191.9561,-11.2987
WISEA J071138.88+370601.0,107.9123,37.1011
WISEA J030845.36+325923.1,47.188,32.9908
SIMP J13183258-0632057,199.6357,-6.535
PSO J054.8149-11.7792,54.8149,-11.779
2MASS J15575011-2952431,239.4588,-29.8787
PSO J183.9318-09.7914,183.932,-9.7914
2MASS J04214620-0025072,65.4426,-0.4187
NLTT 35593B,208.6462,-6.126
SIMP J15014711-1831272,225.4463,-18.5242
2MASSI J2054358+151904,313.6493,15.3178
WISEA J134310.44-121628.8,205.7945,-12.2739
PSO J331.9397-07.0570,331.9393,-7.0567
WISEA J201530.67-421542.5,303.8774,-42.2615
2MASS J15442544+0750572,236.1061,7.8491
SDSS J154508.93+355527.3,236.2872,35.9245
PC 0025+0447,6.9249,5.0616
2MASS J14140586+0107102,213.5244,1.1195
PSO J213.3-027.3,213.3741,-27.1459
SDSS J111320.16+343057.9,168.3339,34.5161
2MASS J14554511+3843329,223.9378,38.7259
SIMP J10414238-0429259,160.4266,-4.4907
SIMP J21503911-0412117,327.663,-4.2033
WISEA J193430.11-421444.3,293.6262,-42.2446
WISEPA J183058.57+454257.9,277.7436,45.7156
2MASS J15202471+2203340,230.1029,22.0596
SIMP J22552905-0725440,343.8712,-7.429
SDSS J211846.77-001044.6,319.6949,-0.1791
SDSS J000250.98+245413.8,0.7124,24.9039
LSPM J1336+2541B,204.1043,25.6769
PSO J143.6774-29.8356,143.6774,-29.8354
SDSS J152531.32+581053.1,231.3805,58.1813
LSPM J0632+5053B,98.2021,50.8931
SDSS J134525.57+521634.0,206.3566,52.2761
2MASS J12260640+1756293,186.5265,17.9414
2MASSI J0835425-081923,128.9272,-8.3232
2MASS J18212815+1414010,275.3673,14.2336
SIPS J2045-6332,311.26,-63.5352
DENIS-P J025503.3-470049,43.7654,-47.0143
2MASS J21481628+4003593,327.0679,40.0665
2MASSW J1645221-131951,251.3421,-13.3312
2MASSW J1108307+683017,167.1282,68.5046
2MASSI J0523382-140302,80.9093,-14.0506
2MASS J09211410-2104446,140.3088,-21.079
DENIS-P J0823031-491201,125.7631,-49.2003
WISEP J190648.47+401106.8,286.7003,40.1857
WISEP J004701.06+680352.1,11.7517,68.0651
2MASS J17534518-6559559,268.4383,-65.9988
2MASS J07414279-0506464,115.4283,-5.1129
CWISE J061741.79+194512.8,94.4246,19.7538
WISE J040418.01+412735.6,61.0753,41.461
SDSSp J053951.99-005902.0,84.9667,-0.9837
2MASS J06085283-2753583,92.2201,-27.8995
2MASS J19251275+0700362,291.3032,7.0101
WISE J140533.32+835030.5,211.4051,83.8402
2MASSW J1004392-333518,151.1638,-33.5886
DENIS-P J0716478-063037,109.1996,-6.5103
2MASSI J2238074+435317,339.5311,43.8882
2MASS J11263991-5003550,171.6658,-50.0652
2MASS J00145575-4844171,3.7324,-48.738
SDSS J202820.32+005226.5,307.0848,0.8741
WISEA J071552.38-114532.9,108.9661,-11.758
2MASS J07193188-5051410,109.8828,-50.8614
2MASS J05264348-4455455,81.6812,-44.9293
2MASS J19360187-5502322,294.0078,-55.0423
2MASS J07555430-3259589,118.9762,-32.9997
2MASS J17065487-1314396,256.7286,-13.2444
Gaia J183610.72+031524.6,279.0446,3.2563
2MASS J22425317+2542573,340.7217,25.7159
2MASS J04210718-6306022,65.28,-63.1006
2MASS J01415823-4633574,25.4926,-46.5659
WISEA J065958.55+171710.9,104.9938,17.2877
WISEA J032301.88+562558.0,50.7568,56.4339
WISE J160018.05-454332.7,240.0771,-45.7237
2MASS J07415784+0531568,115.491,5.5325
2MASS J23140244+6939368,348.51,69.6603
WISE J064336.71-022315.4,100.9029,-2.387
2MASSW J2206450-421721,331.6875,-42.2892
G 259-20B,265.7852,85.4499
2MASS J20414283-3506442,310.4285,-35.1123
2MASS J21265040-8140293,321.7098,-81.6748
2MASS J21075409-4544064,316.9754,-45.7351
CWISE J091735.38-634451.2,139.3982,-63.7477
DENIS J2013108-124244,303.2951,-12.7126
WISEA J064750.85-154616.4,101.9616,-15.7716
WISEA J214155.85-511853.1,325.4795,-51.3141
2MASSW J1036530-344138,159.2211,-34.694
2MASS J22351658-3844154,338.8191,-38.7376
SIPS J0614-2019,93.5499,-20.3218
WISEA J072352.62-330943.5,110.9694,-33.1624
Gaia J073408.90-433025.6,113.5371,-43.5071
WISE J092055.40+453856.3,140.2312,45.6514
WISEA J090258.99+670833.1,135.7469,67.1431
2MASS J07123786-6155528,108.1577,-61.9313
PSO J318.5338-22.8603,318.5335,-22.86
2MASS J16154255+4953211,243.9275,49.8893
2MASS J23225299-6151275,350.7209,-61.8576
2MASS J05361998-1920396,84.0833,-19.3444
2MASS J18462188-5706040,281.5911,-57.1011
2MASSI J0034568-070601,8.7369,-7.1004
PSO J306.0126+16.7969,306.0125,16.7972
DENIS-P J1323-1806,200.8999,-18.1105
WISE J064205.58+410155.5,100.5233,41.0331
PSO J306.0928-06.6429,306.0926,-6.6422
2MASS J20484222-5127435,312.1759,-51.4621
2MASS J08441409-2924121,131.0587,-29.4035
WISE J191915.54+304558.4,289.8134,30.7651
2MASS J02441019-3548036,41.0425,-35.801
2MASS J10461875+4441149,161.5783,44.6874
2MASS J09555995-7342489,148.9998,-73.7136
HD 46588B,101.612,79.5835
SDSS J120610.49+624257.2,181.5438,62.716
PSO J004.7148+51.8918,4.7133,51.8918
SDSS J075752.70+091410.0,119.4698,9.2362
CD-28 8692 B,167.6217,-29.4219
WISEA J114724.10-204021.3,176.8508,-20.6723
WISEA J122221.95-213948.6,185.5924,-21.663
2MASS J22114470+6856262,332.9361,68.9406
2MASS J20334473-5635338,308.4365,-56.5928
PSO J087.7749-12.6537,87.7754,-12.6536
WISEA J190722.56+472745.3,286.8439,47.4629
2MASS J23313131+2041273,352.8806,20.6909
SDSS J084751.48+013811.0,131.9645,1.6364
WISEA J062858.69+345249.2,97.2445,34.8812
2MASS J01472702+4731142,26.8625,47.5207
2MASS J19163888-3700026,289.1621,-37.0007
WISEA J070534.00-183925.6,106.3926,-18.6575
WISEA J162341.27-740230.4,245.9227,-74.0406
2MASS J20113196-5048112,302.8833,-50.8032
WISEA J082000.48-662211.9,125.0031,-66.3709
2MASS J19350976-6200473,293.7907,-62.0131
2MASSW J0242435+160739,40.6815,16.1275
WISE J195113.62-331116.7,297.8064,-33.1869
SDSS J165850.26+182000.6,254.7096,18.3334
WISEA J205202.06-204313.0,313.0074,-20.72
PSO J334.8034+11.2278,334.8035,11.228
WISEA J043718.77-550944.0,69.3277,-55.1625
WISEA J000856.39-281321.7,2.2341,-28.2227
2MASS J13550323-8258375,208.7635,-82.9771
WISEA J032049.31-532656.7,50.2051,-53.4485
PSO J071.4708+36.4930,71.4707,36.4934
2MASS J07244848+2506143,111.202,25.1039
2MASSW J0708213+295035,107.089,29.843
2MASS J08204440-7514571,125.1848,-75.2492
WISEA J042949.41-783705.6,67.4512,-78.6195
SIMP J09455513-0757441,146.4797,-7.9623
2MASS J19495702+6222440,297.4876,62.3789
PSO J143.8+001.7,143.8835,1.7977
2MASS J01165802+4333081,19.2418,43.5523
SIMP J11470302-1032547,176.7626,-10.5486
WISEPC J134806.99+660327.8,207.0283,66.0586
PSO J260.3363+46.6739,260.3361,46.6747
WISEA J055959.30-583546.0,89.9974,-58.5959
WISEA J082624.09-601202.8,126.6012,-60.2001
ULAS J154038.87-001256.7,235.1615,-0.216
SIMP J17563950+3343002,269.1646,33.7167
2MASS J03302948+3910242,52.6229,39.1736
2MASS J22035781+0713492,330.9909,7.2303
PSO J179.2489+41.5121,179.2496,41.5121
ULAS J150927.83+034449.7,227.366,3.7472
SIMP J09463358+1808211,146.6398,18.139
PSO J349.3359+32.0532,349.3358,32.0534
WISEA J050259.73-610206.1,75.7485,-61.0344
PSO J078.9904+31.0171,78.9903,31.0172
WISEA J180839.55+070021.7,272.1656,7.0066
SDSS J204317.69-155103.4,310.8237,-15.8509
2MASS J17570962+4325139,269.29,43.4205
PSO J316.5156+04.1173,316.5156,4.1174
PSO J182.6569-26.6197,182.6573,-26.6197
2MASS J09512690-8023553,147.8618,-80.3986
WISEA J010631.20-231415.1,16.6309,-23.237
